B100-G163   0 42 28.96 40 49 56.0 0.15  -428.4  8 5.1 -0.9 0.1 14.  x
B101-G164   0 42 29.04 41 08 15.6 0.13  -352.0  9 5.4 -1.0 0.1 14.  x
B103-G165   0 42 29.75 41 17 57.5 0.34  -366.5  7 6.4 -0.5 0.1 13.3
B104-NB5    0 42 29.94 41 17 25.7 0.20    45.6 22 5.2 -1.4 0.2 14.  ex
B105-G166   0 42 30.75 41 30 27.3 0.16  -240.2  7 5.3 -1.0 0.1 14.  x,two objects
B106-G168   0 42 31.04 41 12 18.3 0.22   -62.6  7 5.7 -0.6 0.1 13.2
B108-G167   0 42 31.19 41 08 51.3 0.22  -548.0 11 5.4  0.0 0.2 10.4
B107-G169   0 42 31.27 41 19 38.9 0.22  -332.4  7 6.0 -1.0 0.1 14.  x
B109-G170   0 42 32.16 41 10 27.9 0.20  -612.1  8 5.7 -0.2 0.1  9.0
B110-G172   0 42 33.10 41 03 28.4 0.12  -239.4 10 6.1 -0.7 0.1  8.6
NB16        0 42 33.12 41 20 16.8 0.68   -95.1 36 5.5 -1.4 0.5 14.  x
B111-G173   0 42 33.17 41 00 26.5 0.15  -402.5 15 5.5 -1.3 0.1 14.  x
B260        0 42 33.19 41 31 24.8 1.00  -189.8 17 5.8 -0.6 0.3 14.  ex
B112-G174   0 42 33.26 41 17 42.4 0.13) -272.6 11 5.5  0.3 0.1 14.  x
B114-G175   0 42 34.30 41 12 44.9 0.19  -244.5 30 5.4 -2.2 0.4 14.  x
B117-G176   0 42 34.38 40 57 09.3 0.08  -527.8 20 5.3 -1.7 0.2 14.  x
B115-G177   0 42 34.41 41 14 02.0 0.18  -593.4 11 5.8  0.1 0.1 14.  ex
B116-G178   0 42 34.54 41 32 51.4 0.72  -339.3  7 6.2 -0.6 0.1 14.  x
B064D-NB6   0 42 35.54 41 14 34.3 0.14    21.5 15 5.6 -1.1 0.2 14.  x
B119-NB14   0 42 36.11 41 17 35.4 0.21  -370.4 15 5.3 -0.8 0.3 13.6 e
NB21-AU5  h 0 42 37.98 41 15 58.9 0.02  -632.4 30 4.7 -1.1 0.3 14.  ex
B351-G179   0 42 37.98 42 11 30.7 0.13  -325.1 22 5.1 -1.5 0.6 14.  x
B352-G180   0 42 38.19 42 02 13.1 0.17  -291.4 11 5.6 -1.5 0.2 14.  x
B068D       0 42 39.9  41 20 39.9 0.08  -202.2 12 4.6 -0.5 0.3  8.7
B122-G181   0 42 40.11 41 33 46.8 0.79  -436.2 11 5.9 -1.2 0.1 14.  x
B123-G182   0 42 40.66 41 10 33.4 0.20  -368.2 12 5.3 -0.7 0.2 13.0
B124-NB10   0 42 41.44 41 15 23.7 0.17   -25.5 10 6.3 -0.5 0.1 10.6
B125-G183   0 42 42.27 41 05 31.0 0.11  -656.8 12 5.5 -1.5 0.1 14.  x
DAO55       0 42 42.5  40 29 27.0 0.14  -447.9 28 4.7  0.3 0.5 14.  x
B126-G184   0 42 43.70 41 12 42.8 0.13  -188.4 16 5.3 -1.5 0.2 14.  x
B127-G185   0 42 44.50 41 14 41.5 0.20  -528.5  7 6.5 -0.7 0.1  9.5 e
SK054A      0 42 45.08 41 08 15.1 0.13) -627.9 11 4.8               r
B072D       0 42 45.79 41 27 27.0 0.16  -262.5 12 4.6 -0.9 0.2  8.6
BH16      i 0 42 46.10 41 17 36.2 0.13) -100.1  1 4.7          14.  x
NB18        0 42 46.34 41 18 32.4 0.00  -210.2 39 4.5          14.  wx
B354-G186   0 42 47.64 42 00 24.7 0.15  -172.6 17 5.1 -1.6 0.4 14.  x
B128-G187   0 42 47.81 41 11 13.8 0.24) -378.8 10 5.5 -0.6 0.1 13.7 e
B129        0 42 48.35 41 25 06.6 1.24   -42.9 11 6.7 -0.8 0.1  8.2
B130-G188   0 42 48.86 41 29 52.7 0.42   -22.6 10 5.8 -1.2 0.1 14.  x
B262      g 0 42 50.05 41 19 28.1 0.06  -378.4 21 5.0 -1.3 0.3 14.  x
BH18        0 42 50.73 41 10 33.4 0.21  -517.7 14 5.0  0.1 0.3 10.1
B131-G189   0 42 50.81 41 17 07.3 0.18  -467.5 10 6.1 -0.7 0.1 10.0
B132-NB15 f 0 42 51.44 41 15 40.7 0.30    36.2 18 5.3 -0.5 0.3 14.  ex
B134-G190   0 42 51.65 41 14 03.6 0.13  -374.7  8 5.5 -0.9 0.1 14.  x
B078D       0 42 51.91 41 22 05.2 0.49   -36.4 14 4.9 -0.4 0.3 14.  x
B135-G192   0 42 51.98 41 31 08.3 0.28  -375.0 13 6.0 -1.8 0.1 14.  x
B264-NB19   0 42 53.19 41 16 14.4 0.21   -49.0 39 5.2 -2.4 0.9 14.  x
B136-G194   0 42 53.64 41 19 34.4 0.12  -627.6 17 5.4 -1.2 0.2 14.  x
B137-G195   0 42 54.0  41 32 14.4 0.52  -220.5 10 5.6 -1.5 0.1 14.  x
B138        0 42 55.62 41 18 35.1 0.22  -347.2 10 5.5 -0.0 0.2  7.4
AU010       0 42 58.13 41 16 52.7 0.22  -307.3 12 5.3 -0.5 0.3  6.0
B140-G196   0 42 58.75 41 08 52.7 0.19  -474.7 11 5.1 -0.1 0.2  7.0
B087D       0 42 58.92 41 09 08.8 0.14  -661.4  9 5.2 -1.2 0.1 14.  x
B141-G197   0 42 59.29 41 32 47.5 0.32  -173.2 11 5.7 -1.4 0.1 14.  x
B088D     i 0 42 59.38 41 04 17.5 0.13) -347.1  2
B143-G198   0 42 59.66 41 19 19.3 0.34  -144.5  7 6.0 -0.1 0.1 12.4
B144        0 42 59.87 41 16 05.7 0.24    -6.4 11 5.6  0.1 0.2 11.7
B090D       0 43 01.23 41 16 10.4 0.13)   15.2 12 5.2 -0.3 0.2 12.4
B091D-D058  0 43 01.44 41 30 17.5 0.24  -122.8  6 6.1 -0.7 0.1 12.8
B145        0 43 01.59 41 12 26.9 0.14  -303.0 17 4.8 -1.2 0.3 14.  x
B092D       0 43 01.70 41 13 08.9 0.36  -321.0 11 4.9  0.4 0.5 14.  x
B265        0 43 01.92 40 53 01.8 0.16  -490.9  9 4.8 -0.8 0.2 13.7
B146        0 43 02.94 41 15 22.6 0.18   -14.6 11 5.4 -1.0 0.2 14.  x
B147-G199   0 43 03.30 41 21 21.5 0.13)  -85.3 11 5.9 -0.1 0.1 14.  x
B266        0 43 03.52 41 40 31.2 0.52  -160.6  8 5.3 -1.0 0.2 14.  x
B148-G200   0 43 03.87 41 18 04.8 0.28  -333.6  8 6.0 -1.1 0.1 14.  x
B149-G201   0 43 05.48 41 34 27.3 0.37   -58.0  8 5.7 -1.3 0.1 14.  x
B467-G202   0 43 06.45 42 01 49.1 0.09  -282.4 17 5.1 -1.4 0.2 14.  x
B268        0 43 07.19 41 11 47.8 0.29  -233.0 14 5.0 -0.2 0.3  7.6
B269        0 43 07.38 41 27 32.9 0.51  -320.3 10 5.1 -0.8 0.2  9.7 e
B150-G203   0 43 07.52 41 20 19.6 0.19  -138.4  7 5.6 -0.3 0.1 12.7
PHF6-1      0 43 08.02 41 18 18.3 0.13) -116.7 11 5.1 -0.2 0.2 14.  x
B151-G205   0 43 09.56 41 21 32.1 0.53  -340.4  9 6.8 -0.6 0.1 12.8
B152-G207   0 43 10.02 41 18 16.1 0.18  -136.1 12 5.8 -0.7 0.1 11.2
B356-G206   0 43 10.36 41 50 31.3 0.27  -186.2 16 5.6 -1.4 0.1 14.  x
B153        0 43 10.63 41 14 51.4 0.21  -248.9 10 5.8 -0.3 0.1 11.8
B154-G208   0 43 12.46 41 16 04.9 0.17  -209.0 11 5.5 -0.2 0.2 11.7
B155-G210   0 43 13.39 41 03 28.3 0.19  -416.9  7 5.1 -0.5 0.1 14.  x
B156-G211   0 43 13.73 41 01 17.9 0.09  -373.9  8 5.4 -1.2 0.1 14.  x
B157-G212   0 43 14.00 41 11 19.7 0.09)    4.0 40 5.1 -2.6 0.3 14.  x
B158-G213   0 43 14.41 41 07 21.2 0.16  -177.7 10 6.3 -0.8 0.1  9.1 e
B159        0 43 14.65 41 25 13.5 0.54  -513.3 14 5.7 -1.2 0.2 14.  x
B160-G214   0 43 14.93 41 01 35.6 0.09  -340.1 21 4.9 -2.8 0.4 14.  x
B161-G215   0 43 15.43 41 11 25.0 0.18  -442.7 12 5.7 -1.1 0.1 14.  x
SK063A      0 43 16.09 41 27 57.0 0.13) -266.5 10 4.8               r
B162-G216   0 43 16.41 41 24 04.5 0.21  -139.4  8 5.2 -0.5 0.1 14.  ex
B163-G217   0 43 17.64 41 27 45.0 0.21  -161.8  6 6.3 -0.1 0.1 13.5
B164-V253   0 43 18.14 41 12 29.3 0.23    50.9 15 5.2 -0.3 0.2 14.  x
B165-G218   0 43 18.22 41 10 54.7 0.15   -68.0 14 5.6 -2.0 0.2 14.  x
B167        0 43 21.13 41 14 08.3 0.18  -199.8  8 5.3 -0.4 0.1 11.7
B168        0 43 22.52 41 44 05.6 0.76  -117.1  7 5.6 -0.6 0.1 12.4
B169        0 43 23.00 41 15 25.4 0.44) -127.5 12 5.6  0.3 0.1 14.  x
B170-G221   0 43 23.47 40 50 41.8 0.21  -289.3  8 5.3 -0.7 0.1 14.  x
B272-V294   0 43 25.52 41 37 11.7 0.46  -116.9  9 5.3 -0.9 0.2 14.  x
B171-G222   0 43 25.61 41 15 37.2 0.19  -264.1 10 6.1 -0.3 0.1 12.9
B172-G223   0 43 26.00 41 21 31.6 0.17  -271.9 10 5.5 -0.6 0.1 10.7 e
B173-G224   0 43 28.76 41 22 37.0 0.11  -291.5  8 5.2 -0.8 0.1 10.3
B174-G226   0 43 30.31 41 38 56.2 0.28  -485.7 12 6.2 -1.0 0.1 14.  x
B176-G227   0 43 30.45 40 49 11.1 0.13  -538.8 13 5.4 -1.6 0.2 14.  x
B177-G228   0 43 30.49 41 05 42.4 0.18  -403.0  9 4.9 -1.2 0.1 14.  x
B178-G229   0 43 30.79 41 21 16.4 0.10  -151.4 14 6.1 -1.2 0.1 14.  x
B179-G230   0 43 31.10 41 18 14.7 0.10  -144.6 11 6.0 -1.0 0.1 14.  x
B180-G231   0 43 31.72 41 07 46.4 0.19  -195.2  5 5.7 -0.9 0.1 11.1
B181-G232   0 43 32.46 41 29 07.4 0.13  -256.5 10 5.4 -0.5 0.1 12.3
B182-G233   0 43 36.66 41 08 12.2 0.33  -350.6  8 6.2 -1.0 0.1 14.  x
B183-G234   0 43 36.94 41 02 02.4 0.19  -183.2  6 5.8 -0.5 0.1 14.  x
B185-G235   0 43 37.28 41 14 43.6 0.21  -152.9  7 6.0 -0.6 0.1 14.0
B184-G236   0 43 37.52 41 36 34.5 0.27  -154.0  7 5.3  0.1 0.1 14.  x
B186        0 43 38.23 41 36 24.1 0.25  -119.2 10 4.7  0.2 0.3 14.  ex, diffuse
B187-G237   0 43 38.64 41 29 47.1 0.36   -65.5 18 5.5 -1.6 0.3 14.  x
B188-G239   0 43 41.51 41 24 25.6 0.09  -211.6 14 5.3 -1.7 0.2 14.  x
B189-G240   0 43 42.42 41 35 23.3 0.24  -136.9 12 5.5  0.4 0.2 14.  x
B190-G241   0 43 43.39 41 34 06.0 0.25   -91.8 11 5.5 -1.2 0.1 14.  x
B194-G243   0 43 45.18 41 06 08.7 0.19  -400.0 12 5.3 -1.4 0.1 14.  ex
B193-G244   0 43 45.52 41 36 57.6 0.23   -60.8  6 6.2 -0.1 0.1 12.9
SK072A      0 43 46.69 41 22 28.2 0.13) -137.2  5 5.1               r
B103D-G245  0 43 47.54 41 27 08.0 0.18  -170.9  8 5.1 -0.8 0.1 10.9
B472-D064   0 43 48.42 41 26 53.2 0.12  -117.5 13 6.1 -1.0 0.1 14.  x
SK073A      0 43 48.52 41 07 48.4 0.13) -443.4  7 4.9               r
B196-G246   0 43 48.57 40 42 36.8 0.23  -312.8  7 5.3 -1.1 0.1 14.  x
B197-G247   0 43 49.72 41 30 10.1 0.30   -60.0  8 5.3 -0.3 0.1 14.0 e
B199-G248   0 43 49.83 40 58 14.8 0.13  -367.1  8 5.2 -1.5 0.1 14.  x
B198-G249   0 43 50.11 41 31 52.6 0.22    -2.3  8 5.1 -1.0 0.2 14.  ex
B200        0 43 50.44 41 29 22.9 0.34  -361.3 34 5.1 -1.4 0.3 14.  x
B201-G250   0 43 52.83 41 09 58.1 0.12  -700.1  5 5.7 -1.1 0.1 14.  x
B202-G251   0 43 54.69 41 00 32.5 0.20  -342.6  7 5.1 -1.2 0.1 14.  x
B203-G252   0 43 55.83 41 32 35.1 0.17  -229.2  8 5.5 -0.8 0.1 14.  x
B204-G254   0 43 56.42 41 22 02.9 0.13  -356.8  9 5.9 -0.7 0.1 12.1
B361-G255   0 43 57.10 40 14 01.2 0.12  -341.5 10 5.3 -1.4 0.2 14.  x
B205-G256   0 43 58.17 41 24 38.3 0.12  -369.8 11 6.0 -0.9 0.1  7.7
B206-G257   0 43 58.63 41 30 18.1 0.10  -190.0 12 6.1 -1.1 0.1 14.  x
B110D-V296  0 43 59.14 41 36 41.3 0.28  -251.5 12 4.9 -1.4 0.2 14.  x
B207-G258   0 43 59.44 41 06 10.7 0.08  -161.2 12 5.2 -1.3 0.1 14.  x
B208-G259   0 44 00.08 41 23 11.6 0.21  -253.5 10 5.0 -0.4 0.2 10.5
M009        0 44 00.83 41 17 12.5 0.12  -349.2 20 5.0 -1.8 0.3 14.  ex
B209-G261   0 44 02.63 41 25 26.7 0.13  -461.0 13 5.5 -1.0 0.1 14.  x
B211-G262   0 44 02.92 41 20 04.8 0.14  -140.2 16 5.5 -1.4 0.1 14.  x
B212-G263   0 44 03.05 41 04 56.4 0.16  -401.3 11 6.0 -1.7 0.1 14.  x
B213-G264   0 44 03.52 41 30 38.7 0.17  -566.9 10 5.5 -0.8 0.1 14.  x
B214-G265   0 44 03.96 41 26 18.6 0.15  -274.7 15 5.1 -1.3 0.1 14.  x
B215-G266   0 44 06.40 41 31 43.7 0.14  -150.8  7 5.3 -0.6 0.1 14.  x
B217-G269   0 44 10.60 41 23 51.2 0.13   -15.1 12 5.6 -0.8 0.1 13.9
M019        0 44 11.71 41 23 54.0 0.12  -260.6 16 4.8 -1.4 0.2 14.  x
B218-G272   0 44 14.33 41 19 19.4 0.17  -220.2  6 6.3 -0.8 0.1  8.7
B219-G271   0 44 15.04 40 56 47.3 0.17  -503.0  6 5.7 -0.6 0.1 14.  x
B363-G274   0 44 17.25 40 33 35.1 0.13  -374.7 18 5.0 -2.1 0.2 14.  x
B220-G275   0 44 19.44 41 30 35.0 0.13  -275.4 12 5.6 -1.5 0.2 14.  x
B221-G276   0 44 23.07 41 33 06.4 0.26  -457.0 10 5.6 -1.1 0.1 14.  x
B224-G279   0 44 27.10 41 28 50.0 0.15  -139.2 21 6.1 -1.5 0.1 14.  x
